year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,torque_val,max_torque_rpm,brand,model,conf
2015,415000,100581,Diesel,Dealer,Manual,First Owner,25.83,1498,99.0,5,215.0,2375.0,Ford,Figo,Aspire 1 5 TDCi Trend
2017,860000,40000,Diesel,Individual,Manual,Second Owner,22.0,1582,126.2,5,259.87,2250.0,Hyundai,Verna,CRDi 1 6 EX
2015,919999,140000,Diesel,Individual,Manual,First Owner,16.0,2179,140.0,7,330.0,2200.0,Mahindra,XUV500,W10 2WD
2014,425000,60000,Diesel,Individual,Manual,First Owner,24.0,1120,70.0,5,160.0,2125.0,Hyundai,Grand,i10 CRDi Magna
2016,540000,80000,Diesel,Individual,Manual,Third Owner,21.19,1396,88.73,5,219.66,2125.0,Hyundai,i20,Active 1 4 SX with AVN
2019,1460000,5000,Diesel,Individual,Manual,First Owner,17.3,1497,121.0,7,300.0,2125.0,Mahindra,Marazzo,M8
2017,850000,50000,Diesel,Individual,Automatic,First Owner,19.6,1461,108.45,5,245.0,1750.0,Renault,Duster,110PS RxL AMT
2012,650000,138000,Diesel,Individual,Manual,Second Owner,12.8,2494,102.0,8,200.06,2400.0,Toyota,Innova,2 5 GX 8 STR BSIV
2013,250000,60000,Petrol,Individual,Manual,Second Owner,14.09,1596,99.6,5,146.0,3400.0,Ford,Classic,1 6 Duratec CLXI
2012,405000,150000,Diesel,Individual,Manual,First Owner,19.3,1248,81.86,5,160.0,2400.0,Toyota,Etios,Liva GD SP
2013,300000,120000,Petrol,Individual,Manual,Second Owner,18.0,1198,86.7,5,109.0,4500.0,Honda,Amaze,EX i Vtech
2019,466000,25000,Petrol,Individual,Automatic,Fourth & Above Owner,20.3,1086,68.0,5,99.0,4500.0,Hyundai,Santro,Sportz AMT BSIV
2012,200000,90000,Diesel,Individual,Manual,First Owner,22.3,1248,74.0,5,190.0,2375.0,Tata,Indica,Vista Quadrajet VX
2013,350000,37000,Petrol,Dealer,Manual,First Owner,13.7,1399,98.79,7,131.0,4400.0,Chevrolet,Enjoy,1 4 LTZ 7
2016,645000,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,5,153.0,3800.0,Skoda,Rapid,1 6 MPI AT Elegance
2012,250000,100000,Diesel,Individual,Manual,Third Owner,19.3,1248,73.9,5,190.0,2000.0,Maruti,Swift,Dzire VDi
2014,300000,45000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,5,135.0,2500.0,Tata,Indigo,CS LS TDI BS III
2011,235000,60000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5,111.7,4000.0,Hyundai,i10,Magna
2014,375000,76000,Diesel,Individual,Manual,Third Owner,24.0,1120,70.0,5,159.8,2125.0,Hyundai,Grand,i10 CRDi SportZ Edition
2017,400000,110000,CNG,Individual,Manual,First Owner,21.28,998,58.16,5,77.0,3500.0,Maruti,Wagon,R LXI
2012,450000,135000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7,195.0,1800.0,Mahindra,Bolero,2011 2019 ZLX
2011,325000,160000,Diesel,Individual,Manual,Third Owner,20.86,1199,75.0,5,180.0,2000.0,Skoda,Fabia,1 2L Elegance
2010,210000,94000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5,111.8,4000.0,Hyundai,i10,Sportz
2019,359000,5500,Petrol,Individual,Manual,First Owner,15.37,1196,73.0,7,101.0,3000.0,Maruti,Eeco,7 Seater Standard BSIV
2019,670000,5000,Petrol,Individual,Manual,First Owner,19.5,1199,88.76,5,110.0,4800.0,Honda,Amaze,S BSIV
2014,180000,62000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5,74.5,4000.0,Hyundai,EON,D Lite Plus
2010,254999,80000,Petrol,Individual,Manual,Fourth & Above Owner,17.0,1197,80.0,5,111.8,4000.0,Hyundai,i20,1 2 Asta
2019,700000,30000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5,190.0,2000.0,Maruti,Swift,Dzire VDI
2014,560000,90000,Diesel,Individual,Manual,First Owner,20.77,1248,88.8,7,200.0,1750.0,Maruti,Ertiga,ZDI
2012,300000,88000,Petrol,Individual,Manual,First Owner,17.5,1298,85.8,5,114.0,4000.0,Maruti,Swift,Dzire VXi
2018,275000,20000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,5,91.0,4250.0,Renault,KWID,1 0 RXL
2012,320000,40000,Petrol,Individual,Manual,First Owner,18.5,1197,85.8,5,114.0,4000.0,Maruti,Ritz,VXi
2012,254999,190000,Diesel,Individual,Manual,Third Owner,19.3,1248,81.86,5,160.0,2400.0,Tata,Sumo,EX BS IV
2012,300000,120000,Petrol,Individual,Manual,First Owner,18.5,1197,82.85,5,113.7,4000.0,Hyundai,i20,Sportz 1 2
2011,110000,120000,Diesel,Individual,Manual,First Owner,19.4,1405,70.0,5,135.4,2500.0,Tata,Indica,Vista TDI LS
2017,625000,25538,Petrol,Trustmark Dealer,Manual,First Owner,16.78,1496,88.73,5,132.0,3000.0,Toyota,Etios,VX
2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,5,400.0,2125.0,BMW,X4,M Sport X xDrive20d
2017,235000,25000,Petrol,Individual,Manual,First Owner,22.7,799,53.64,5,72.0,4386.0,Datsun,RediGO,S
2013,375000,70000,Petrol,Individual,Manual,First Owner,18.5,1197,82.85,5,113.7,4000.0,Hyundai,i20,Sportz 1 2
2015,625000,90000,Diesel,Individual,Manual,First Owner,21.19,1396,88.73,5,219.66,2125.0,Hyundai,i20,Active 1 4 SX with AVN
2018,946000,60000,Diesel,Individual,Manual,First Owner,22.1,1396,88.7,5,219.7,2125.0,Hyundai,Creta,1 4 E Plus
2008,200000,90000,Petrol,Individual,Manual,First Owner,19.3,1248,81.86,5,160.0,2400.0,Maruti,Swift,1 3 ZXI
2014,570000,48000,Diesel,Individual,Manual,First Owner,21.7,1498,98.96,5,215.0,2125.0,Ford,Ecosport,1 5 Trend
2015,600000,40000,Petrol,Individual,Manual,Second Owner,16.02,1373,93.7,7,130.0,4000.0,Maruti,Ertiga,VXI
2018,560000,20000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5,115.0,4000.0,Maruti,Baleno,Delta 1 2
2014,348000,23000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5,111.8,4000.0,Hyundai,i10,Sportz
2002,35000,184000,Petrol,Individual,Manual,Second Owner,19.3,1248,81.86,5,160.0,2400.0,Hyundai,Santro,LE
2014,620000,110000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5,219.7,2125.0,Hyundai,i20,Asta 1 4 CRDi
2019,721000,9400,Petrol,Dealer,Manual,First Owner,18.6,1197,81.83,5,114.7,4000.0,Hyundai,i20,1 2 Asta
2006,170000,120000,Diesel,Individual,Manual,Second Owner,14.0,2523,83.0,7,176.0,1500.0,Mahindra,Bolero,2011 2019 Camper
2018,2475000,2000,Diesel,Dealer,Automatic,First Owner,16.8,1984,150.0,5,350.0,2125.0,Volvo,V40,D3 R Design
2013,190000,60000,Petrol,Individual,Manual,Second Owner,22.74,796,47.3,5,69.0,3500.0,Maruti,Alto,800 LXI Airbag
2016,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199,88.7,5,110.0,4800.0,Honda,Jazz,VX
2016,350000,120000,Diesel,Individual,Manual,Second Owner,24.4,1120,71.0,5,180.4,2125.0,Hyundai,Xcent,1 1 CRDi S
2015,503000,110000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,7,320.0,2250.0,Tata,Safari,Storme EX
2015,585000,50000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7,195.0,1800.0,Mahindra,Bolero,2011 2019 SLX
2015,265000,48000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,5,69.0,3500.0,Maruti,Alto,800 VXI BSIV
2017,890000,18300,Petrol,Individual,Manual,First Owner,17.8,1497,117.3,5,145.0,4600.0,Honda,City,i VTEC VX
2017,635000,120000,Petrol,Individual,Automatic,First Owner,21.21,1197,81.8,5,113.0,4200.0,Maruti,Swift,Dzire AMT VXI
2016,900000,110000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5,259.9,2325.0,Hyundai,Creta,1 6 CRDi SX
2017,620000,25000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5,114.7,4000.0,Hyundai,i20,1 2 Asta
2014,550000,105000,Diesel,Dealer,Manual,First Owner,21.7,1498,98.96,5,215.0,2125.0,Ford,Ecosport,1 5 Titanium
2012,155000,98000,Diesel,Individual,Manual,First Owner,25.44,936,57.6,5,150.0,1750.0,Chevrolet,Beat,LT
2018,670000,35000,Diesel,Individual,Manual,First Owner,22.71,1461,84.8,5,200.0,2000.0,Nissan,Sunny,XL D
2018,3200000,60000,Diesel,Individual,Automatic,First Owner,15.04,2755,174.5,7,450.0,2000.0,Toyota,Fortuner,2 8 4WD AT BSIV
2007,100000,70000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5,62.0,3000.0,Maruti,Alto,LXi
2016,750000,80000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,200.0,1750.0,Maruti,Vitara,Brezza ZDi
2012,195000,163720,Diesel,Dealer,Manual,First Owner,18.5,1399,68.0,5,160.0,2000.0,Ford,Figo,EXI Option
2017,600000,40000,Petrol,Individual,Manual,Second Owner,20.3,1199,84.0,5,114.0,3500.0,Tata,Tigor,1 2 Revotron XZ Option
2017,500000,62960,Diesel,Dealer,Manual,First Owner,25.83,1498,99.0,5,215.0,2375.0,Ford,Figo,1 5D Trend MT
2019,625000,4337,Petrol,Dealer,Automatic,First Owner,18.9,1197,82.0,5,114.0,4000.0,Hyundai,Grand,i10 Magna AT
2015,450000,53000,Diesel,Individual,Manual,First Owner,24.0,1120,70.0,5,160.0,2125.0,Hyundai,Grand,i10 CRDi Sportz
2015,1050000,80000,Diesel,Individual,Manual,Second Owner,15.4,2179,120.0,7,280.0,2300.0,Mahindra,Scorpio,S10 7 Seater
2015,2000000,120000,Diesel,Individual,Manual,First Owner,13.0,2494,142.0,7,343.0,2200.0,Toyota,Fortuner,2 5 4x2 MT TRD Sportivo
2014,221000,65000,Diesel,Dealer,Manual,First Owner,19.09,1405,69.01,5,135.0,2500.0,Tata,Indigo,CS LS TDI BS III
2013,180000,60000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5,74.5,4000.0,Hyundai,EON,Era Plus
2013,325000,100000,Diesel,Individual,Manual,First Owner,22.3,1248,88.8,5,200.0,2375.0,Tata,Indica,Vista Quadrajet 90 VX
2018,950000,75000,Diesel,Individual,Automatic,First Owner,21.5,1498,108.5,5,250.0,2250.0,Volkswagen,Vento,1 5 Highline Plus AT 16 Alloy
2016,2000000,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16,2494,157.7,5,213.0,4500.0,Toyota,Camry,2 5 Hybrid
2004,60000,113000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,62.0,3000.0,Maruti,Alto,LX
2014,400000,50000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,113.0,4200.0,Maruti,Swift,LXI Option
2017,699000,60000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5,190.0,2000.0,Maruti,Swift,Dzire VDI
2014,425000,80000,Petrol,Individual,Manual,Third Owner,16.02,1373,93.7,7,130.0,4000.0,Maruti,Ertiga,VXI
2009,250000,125876,Petrol,Individual,Manual,Second Owner,15.0,1586,104.68,5,1421.96,4100.0,Maruti,SX4,Vxi BSIII
2019,675000,5000,Petrol,Individual,Automatic,First Owner,21.4,1197,83.1,5,115.0,4000.0,Maruti,Baleno,Zeta Automatic
2015,240000,110000,Diesel,Individual,Manual,Second Owner,19.1,1405,70.0,5,135.4,2500.0,Tata,Indica,Vista TDI LS
2013,451000,120000,Diesel,Individual,Manual,First Owner,23.59,1364,67.06,5,170.0,2100.0,Toyota,Etios,Liva GD
2017,750000,110000,Diesel,Individual,Manual,Second Owner,28.4,1248,74.02,5,190.0,2000.0,Maruti,Swift,Dzire ZDI
2017,400000,140000,Diesel,Individual,Manual,First Owner,14.07,2956,69.01,7,223.0,1900.0,Tata,Sumo,Gold EX BSIII
2005,60000,90000,Petrol,Individual,Manual,Second Owner,17.3,993,60.0,5,78.0,4500.0,Maruti,Zen,LXI
2007,55000,70000,Petrol,Individual,Manual,Third Owner,15.9,1298,85.0,5,110.0,4500.0,Maruti,Esteem,Lxi BSIII
1995,55000,70000,Petrol,Individual,Manual,First Owner,16.1,796,37.0,4,59.0,2500.0,Maruti,800,Std
2017,1000000,60000,Diesel,Individual,Automatic,Second Owner,17.01,1582,126.2,5,259.9,2325.0,Hyundai,Creta,1 6 CRDi AT SX Plus
2006,210000,120000,Diesel,Individual,Manual,First Owner,19.3,1248,81.86,5,160.0,2400.0,Mahindra,Bolero,LX
2013,409999,100000,Diesel,Individual,Manual,Second Owner,23.4,1248,74.0,5,190.0,2000.0,Maruti,Swift,Dzire VDI
2017,620000,100000,Diesel,Individual,Manual,Second Owner,16.5,1493,70.0,7,195.0,1800.0,Mahindra,Bolero,Power Plus SLX
2017,620000,31000,Diesel,Individual,Manual,First Owner,25.4,1186,73.97,5,190.25,2000.0,Hyundai,Xcent,1 2 CRDi SX Option
2017,1100000,26000,Petrol,Individual,Automatic,First Owner,18.0,1497,117.3,5,145.0,4600.0,Honda,City,i VTEC CVT VX
2013,275000,80000,Petrol,Individual,Manual,Second Owner,15.1,1196,73.0,5,101.0,3000.0,Maruti,Eeco,Smiles 5 Seater AC
2011,290000,90000,Petrol,Individual,Manual,Third Owner,17.0,1197,80.0,5,111.8,4000.0,Hyundai,i20,1 2 Sportz
2018,655000,20000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5,114.7,4000.0,Hyundai,i20,1 2 Spotz
2018,250000,10000,Petrol,Individual,Manual,First Owner,22.7,799,53.64,5,72.0,4386.0,Datsun,RediGO,T Option
2012,180000,80000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5,69.0,3500.0,Maruti,Alto,800 LXI
2008,300000,100000,Diesel,Individual,Manual,Second Owner,11.5,1991,147.9,7,320.0,2000.0,Chevrolet,Captiva,LT
2010,135000,148000,Diesel,Individual,Manual,Second Owner,19.09,1396,69.0,5,135.0,2500.0,Tata,Indigo,eCS LE TDI BSIII
2009,120000,90000,Petrol,Individual,Manual,Second Owner,0.0,1086,62.0,5,96.1,3000.0,Hyundai,Santro,Xing GL
2016,482000,50000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,113.0,4200.0,Maruti,Swift,VXI Deca
2013,150000,90000,Diesel,Individual,Manual,Second Owner,19.4,1405,70.0,5,135.4,2500.0,Tata,Indica,Vista TDI LS
2012,470000,215000,Diesel,Individual,Manual,First Owner,12.05,2179,120.0,7,290.0,2300.0,Mahindra,Scorpio,2009 2014 VLX 2WD 7S BSIV
2017,395000,25000,Petrol,Individual,Manual,First Owner,21.63,998,67.0,5,90.0,3500.0,Maruti,Celerio,X VXI Option BSIV
2012,459999,87000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,7,200.0,1750.0,Maruti,Ertiga,VDI
2012,140000,120000,Diesel,Individual,Manual,Second Owner,21.03,1461,65.0,5,160.0,2000.0,Mahindra,Verito,1 5 D2 BSIV
2017,800000,70000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,7,200.0,1750.0,Maruti,Ertiga,SHVS ZDI Plus
2011,265000,90000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248,73.9,5,190.0,2000.0,Maruti,Swift,Dzire ZDi
2017,660000,60000,Diesel,Individual,Manual,Second Owner,16.5,1493,70.0,7,195.0,1800.0,Mahindra,Bolero,Power Plus ZLX
2011,175000,175000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,62.0,3000.0,Maruti,Alto,LX
2012,250000,40000,Diesel,Individual,Manual,First Owner,22.3,1248,74.0,5,190.0,2375.0,Tata,Indica,Vista Quadrajet ZX
2019,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0,1197,81.8,5,113.0,4200.0,Maruti,Swift,AMT VVT VXI
2019,550000,40000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5,113.0,4200.0,Maruti,Swift,VXI
2012,350000,30000,Petrol,Individual,Manual,First Owner,17.5,1298,85.8,5,114.0,4000.0,Maruti,Swift,Dzire VXi
2011,340000,160000,Diesel,Individual,Manual,Second Owner,19.3,1248,81.86,5,160.0,2400.0,Maruti,Swift,VDI BSIV
2018,755000,39000,Diesel,Dealer,Manual,First Owner,28.4,1248,74.0,5,190.0,2000.0,Maruti,Swift,VDI
2017,329000,80000,Petrol,Individual,Manual,Second Owner,20.63,1198,67.0,5,104.0,4000.0,Datsun,GO,T BSIV
2019,3800000,20000,Diesel,Individual,Automatic,First Owner,18.0,1969,190.0,5,400.0,2400.0,Volvo,XC40,D4 Inscription BSIV
2005,110000,53563,Petrol,Dealer,Manual,Second Owner,19.3,1248,81.86,5,160.0,2400.0,Hyundai,Santro,Xing XG
2013,200000,50000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5,69.0,3500.0,Maruti,Alto,800 LXI
2018,575000,70000,Petrol,Individual,Manual,First Owner,17.0,1198,108.5,5,170.0,2875.0,Tata,Nexon,1 2 Revotron XM
2019,700000,6000,Petrol,Individual,Manual,First Owner,19.0,1194,94.68,5,120.0,4250.0,Ford,Freestyle,Titanium Plus BSIV
2004,118000,60000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,62.0,3000.0,Maruti,Alto,LXI
2014,850000,120000,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,7,330.0,2200.0,Mahindra,XUV500,W4
2011,1150000,181000,Diesel,Individual,Manual,Second Owner,11.5,2982,171.0,7,343.0,2400.0,Toyota,Fortuner,3 0
2009,307000,100000,Diesel,Individual,Manual,Second Owner,17.8,1248,75.0,5,190.0,2000.0,Maruti,Swift,Vdi BSIII
2014,220000,50000,Petrol,Individual,Manual,Third Owner,21.1,814,55.2,5,74.5,4000.0,Hyundai,EON,Era Plus
2017,850000,63982,Diesel,Dealer,Manual,First Owner,22.7,1498,89.84,5,204.0,2375.0,Ford,Ecosport,1 5 DV5 MT Titanium
2011,350000,120000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,5,190.0,2000.0,Maruti,Swift,Dzire ZDi
2012,275000,48000,CNG,Individual,Manual,First Owner,10.559999999999999,1495,93.7,5,124.5,3500.0,Hyundai,Accent,Executive
2016,819999,39000,Diesel,Dealer,Manual,First Owner,19.67,1582,126.2,5,259.9,2325.0,Hyundai,Creta,1 6 CRDi Anniversary Edition
2011,240000,90000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,5,190.0,2000.0,Maruti,Swift,Dzire LDi
2003,110000,90000,Petrol,Individual,Manual,Second Owner,13.2,1495,94.0,5,122.58,3500.0,Hyundai,Accent,GLX
2007,270000,147500,Diesel,Individual,Manual,Second Owner,12.8,2494,102.0,7,200.06,2400.0,Toyota,Innova,2 5 E PS 7 Seater
2008,122000,60000,Diesel,Individual,Manual,Second Owner,12.8,1995,52.0,5,106.0,2200.0,Ambassador,Grand,1500 DSZ BSIII
2016,370000,90000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,5,135.0,2500.0,Tata,Indigo,CS LS TDI BS III
2017,565000,80000,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,5,112.0,4000.0,Ford,Figo,Aspire 1 2 Ti VCT Titanium
2004,120000,150000,Diesel,Individual,Manual,Second Owner,13.6,2523,63.0,7,180.0,1470.0,Mahindra,Bolero,DI
2017,650000,25000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5,190.0,2000.0,Maruti,Swift,Dzire VDI
2004,400000,93415,Diesel,Dealer,Manual,First Owner,13.1,2499,141.0,7,330.0,1800.0,Ford,Endeavour,2 5L 4X2 MT
2019,630000,15000,Diesel,Individual,Manual,Second Owner,28.4,1248,74.0,5,190.0,2000.0,Maruti,Swift,VDI
2010,150000,106000,Petrol,Individual,Manual,Third Owner,20.36,1197,78.9,5,111.7,4000.0,Hyundai,i10,Magna
2013,350000,70000,Diesel,Individual,Manual,Second Owner,22.07,1199,73.9,5,180.0,2000.0,Volkswagen,Polo,Highline 1 2L
2015,516000,90000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5,114.7,4000.0,Hyundai,i20,Sportz 1 2
2016,750000,71000,Diesel,Individual,Manual,First Owner,18.49,1493,100.0,7,240.0,2200.0,Mahindra,TUV,300 T8
2006,200000,100000,Petrol,Individual,Manual,Second Owner,17.7,1497,78.0,5,124.54,2700.0,Honda,City,2017 2020 GXi
2017,280000,31000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,5,74.5,4000.0,Hyundai,EON,Sportz
2017,600000,30000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5,114.7,4000.0,Hyundai,i20,2015 2017 Magna 1 2
2006,189000,93000,Petrol,Individual,Manual,Second Owner,16.1,1197,85.0,5,113.0,4500.0,Maruti,Swift,VXi BSIV
2017,800000,60000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,7,320.0,2250.0,Tata,Safari,Storme EX
2017,750000,90000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,200.0,1750.0,Maruti,Vitara,Brezza ZDi
2017,2711000,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999,177.0,5,430.0,2125.0,Jaguar,XE,2016 2019 2 0L Prestige
2015,500000,75000,Diesel,Individual,Manual,First Owner,14.07,2956,69.01,7,223.0,1900.0,Tata,Sumo,Gold EX BSIII
2010,229999,120000,Petrol,Individual,Manual,Third Owner,15.6,1196,70.0,5,102.0,4000.0,Ford,Figo,Titanium
2012,420000,50000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7,195.0,1800.0,Mahindra,Bolero,2011 2019 SLX
2013,200000,300000,Diesel,Individual,Manual,First Owner,14.0,2498,112.0,8,260.0,2000.0,Mahindra,Xylo,D4 BSIII
2017,350000,20000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,5,74.5,4000.0,Hyundai,EON,Era Plus Sports Edition
2010,200000,70000,Petrol,Individual,Manual,Second Owner,19.81,1086,68.05,5,99.04,4500.0,Hyundai,i10,Sportz 1 1L
2010,325000,86017,Diesel,Dealer,Manual,Second Owner,25.5,1498,99.23,5,215.0,2375.0,Ford,Figo,Titanium BSIV
2008,150000,70000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,62.0,3000.0,Maruti,Alto,LXi
2017,380000,28000,Petrol,Individual,Manual,Second Owner,23.84,1199,84.0,5,114.0,3500.0,Tata,Tiago,1 2 Revotron XZ
2010,217000,120000,Diesel,Individual,Manual,First Owner,21.1,1248,73.9,5,113.0,4500.0,Maruti,Ritz,VDi
2018,750000,15000,Petrol,Dealer,Manual,First Owner,22.0,1197,81.8,5,113.0,4200.0,Maruti,Swift,ZXI 2018
2015,500000,150546,Petrol,Dealer,Manual,First Owner,22.0,1197,81.8,5,113.0,4200.0,Maruti,Swift,VXI BSIV
2019,430000,20000,CNG,Individual,Manual,First Owner,25.808,998,58.3,4,78.0,3500.0,Maruti,Alto,K10 LXI
2016,270000,82000,Petrol,Individual,Manual,Third Owner,18.5,1197,85.8,5,114.0,4000.0,Maruti,Ritz,LXi
2005,245000,120000,Diesel,Individual,Manual,First Owner,12.8,2494,102.0,8,200.06,2400.0,Toyota,Innova,2 5 G2
2019,1200000,40000,Diesel,Individual,Manual,First Owner,25.6,1498,97.9,5,200.0,1750.0,Honda,City,i DTEC V
2014,500000,50000,Diesel,Individual,Manual,First Owner,13.58,2499,72.4,9,171.0,1800.0,Chevrolet,Tavera,Neo 3 LT 9 Seats BSIII
2019,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0,1197,81.8,5,113.0,4200.0,Maruti,Swift,AMT VVT VXI
2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,5,400.0,2125.0,BMW,X4,M Sport X xDrive20d
2013,500000,32000,Petrol,Individual,Manual,First Owner,16.8,1497,116.3,5,146.0,4800.0,Honda,City,V MT
2012,220000,111000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5,62.0,3000.0,Maruti,Alto,LXi
